Yýl;Ýl Kodu;Ýl Adý;Ýlce Kodu;Ýlce Adý;Ürün Adý;Ekilen Alan(dekar);Hasat Edilen Alan(dekar);Üretim Miktari(ton);Verim (Kg/Dekar);Rakým (m);Ortalama Sýcaklýk (°C);Nem Oraný (%);Yaðýþ Oraný (mm);Güneþ Iþýðý (saat/gün);;;;;
2012;3;AFYON;12;ÝSCEHÝSAR;Buðday (Diðer) Sulu;   370;   370;   78;   210;1080;12.6;53;460;6.5;;;;;
2012;3;AFYON;13;KIZILÖREN;Buðday (Durum) Kuru;  4 000;  4 000;   800;   200;1110;12.8;55;460;6.5;;;;;
2012;3;AFYON;13;KIZILÖREN;Buðday (Durum) Sulu;   100;   100;   34;   340;1110;12.8;55;460;6.5;;;;;
2012;3;AFYON;13;KIZILÖREN;Buðday (Diðer) Kuru;  15 000;  15 000;  3 300;   220;1110;12.8;55;460;6.5;;;;;
2012;3;AFYON;13;KIZILÖREN;Buðday (Diðer) Sulu;   600;   600;   204;   340;1110;12.8;55;460;6.5;;;;;
2012;3;AFYON;14;SANDIKLI;Buðday (Durum) Kuru;  13 000;  13 000;  2 470;   190;1100;13.0;56;450;6.6;;;;;
2012;3;AFYON;14;SANDIKLI;Buðday (Durum) Sulu;  8 832;  8 832;  2 561;   290;1100;13.0;56;450;6.6;;;;;
2012;3;AFYON;14;SANDIKLI;Buðday (Diðer) Kuru;  94 000;  94 000;  17 860;   190;1100;13.0;56;450;6.6;;;;;
2012;3;AFYON;14;SANDIKLI;Buðday (Diðer) Sulu;  55 000;  55 000;  16 500;   300;1100;13.0;56;450;6.6;;;;;
2012;3;AFYON;15;SÝNANPAÞA;Buðday (Durum) Kuru;  9 000;  9 000;  2 205;   245;1090;12.9;54;455;6.6;;;;;
2012;3;AFYON;15;SÝNANPAÞA;Buðday (Durum) Sulu;  46 000;  46 000;  14 950;   325;1090;12.9;54;455;6.6;;;;;
2012;3;AFYON;15;SÝNANPAÞA;Buðday (Diðer) Kuru;  5 000;  5 000;  1 275;   255;1090;12.9;54;455;6.6;;;;;
2012;3;AFYON;15;SÝNANPAÞA;Buðday (Diðer) Sulu;  40 000;  40 000;  13 600;   340;1090;12.9;54;455;6.6;;;;;
2012;3;AFYON;16;SULTANDAÐI;Buðday (Durum) Kuru;   393;   393;   100;   255;1075;12.6;53;450;6.3;;;;;
2012;3;AFYON;16;SULTANDAÐI;Buðday (Durum) Sulu;   98;   98;   33;   340;1075;12.6;53;450;6.3;;;;;
2012;3;AFYON;16;SULTANDAÐI;Buðday (Diðer) Kuru;  65 748;  65 748;  16 766;   255;1075;12.6;53;450;6.3;;;;;
2012;3;AFYON;16;SULTANDAÐI;Buðday (Diðer) Sulu;  1 963;  1 963;   667;   340;1075;12.6;53;450;6.3;;;;;
2012;3;AFYON;17;ÞUHUT;Buðday (Durum) Kuru;  14 550;  14 550;  2 910;   200;1200;12.8;53;460;6.7;;;;;
2012;3;AFYON;17;ÞUHUT;Buðday (Durum) Sulu;  43 000;  43 000;  13 975;   325;1200;12.8;53;460;6.7;;;;;
2012;3;AFYON;17;ÞUHUT;Buðday (Diðer) Kuru;  6 890;  6 890;  1 412;   205;1200;12.8;53;460;6.7;;;;;
2012;3;AFYON;17;ÞUHUT;Buðday (Diðer) Sulu;  17 040;  17 040;  5 794;   340;1200;12.8;53;460;6.7;;;;;
2012;4;AÐRI;0;MERKEZ;Buðday (Durum) Kuru;;;;   150;1650;5.0;60;550;5.5;;;;;
2012;4;AÐRI;0;MERKEZ;Buðday (Durum) Sulu;;;;   200;1650;5.0;60;550;5.5;;;;;
2012;4;AÐRI;0;MERKEZ;Buðday (Diðer) Kuru;  141 000;  141 000;  21 150;   150;1650;5.0;60;550;5.5;;;;;
