Yýl;Ýl Kodu;Ýl Adý;Ýlce Kodu;Ýlce Adý;Ürün Adý;Ekilen Alan(dekar);Hasat Edilen Alan(dekar);Üretim Miktari(ton);Verim (Kg/Dekar);Rakým (m);Ortalama Sýcaklýk (°C);Nem Oraný (%);Yaðýþ Oraný (mm);Güneþ Iþýðý (saat/gün);;;;;
2012;35;ÝZMÝR;21;MENDERES;Buðday (Durum) Sulu;  8 158;  8 158;  3 630;   445;15;18.7;60;680;7.6;;;;;
2012;35;ÝZMÝR;21;MENDERES;Buðday (Diðer) Kuru;  34 346;  34 346;  10 647;   310;15;18.7;60;680;7.6;;;;;
2012;35;ÝZMÝR;21;MENDERES;Buðday (Diðer) Sulu;  9 813;  9 813;  4 514;   460;15;18.7;60;680;7.6;;;;;
2012;35;ÝZMÝR;22;MENEMEN;Buðday (Durum) Kuru;;;;   310;20;18.6;61;670;7.5;;;;;
2012;35;ÝZMÝR;22;MENEMEN;Buðday (Durum) Sulu;;;;   450;20;18.6;61;670;7.5;;;;;
2012;35;ÝZMÝR;22;MENEMEN;Buðday (Diðer) Kuru;   981;   981;   304;   310;20;18.6;61;670;7.5;;;;;
2012;35;ÝZMÝR;22;MENEMEN;Buðday (Diðer) Sulu;  5 397;  5 397;  2 429;   450;20;18.6;61;670;7.5;;;;;
2012;35;ÝZMÝR;23;ÖDEMÝÞ;Buðday (Durum) Kuru;;;;   300;30;18.3;62;690;7.4;;;;;
2012;35;ÝZMÝR;23;ÖDEMÝÞ;Buðday (Durum) Sulu;;;;   450;30;18.3;62;690;7.4;;;;;
2012;35;ÝZMÝR;23;ÖDEMÝÞ;Buðday (Diðer) Kuru;  15 701;  15 701;  4 710;   300;30;18.3;62;690;7.4;;;;;
2012;35;ÝZMÝR;23;ÖDEMÝÞ;Buðday (Diðer) Sulu;   147;   147;   66;   450;30;18.3;62;690;7.4;;;;;
2012;35;ÝZMÝR;24;SEFERÝHÝSAR;Buðday (Durum) Kuru;;;;   300;20;18.5;63;680;7.5;;;;;
2012;35;ÝZMÝR;24;SEFERÝHÝSAR;Buðday (Durum) Sulu;;;;   369;20;18.5;63;680;7.5;;;;;
2012;35;ÝZMÝR;24;SEFERÝHÝSAR;Buðday (Diðer) Kuru;  1 191;  1 191;   357;   300;20;18.5;63;680;7.5;;;;;
2012;35;ÝZMÝR;24;SEFERÝHÝSAR;Buðday (Diðer) Sulu;;;;   369;20;18.5;63;680;7.5;;;;;
2012;35;ÝZMÝR;25;SELÇUK;Buðday (Durum) Kuru;;;;   310;15;18.7;60;670;7.6;;;;;
2012;35;ÝZMÝR;25;SELÇUK;Buðday (Durum) Sulu;;;;   450;15;18.7;60;670;7.6;;;;;
2012;35;ÝZMÝR;25;SELÇUK;Buðday (Diðer) Kuru;   491;   491;   152;   310;15;18.7;60;670;7.6;;;;;
2012;35;ÝZMÝR;25;SELÇUK;Buðday (Diðer) Sulu;  1 276;  1 276;   574;   450;15;18.7;60;670;7.6;;;;;
2012;35;ÝZMÝR;26;TÝRE;Buðday (Durum) Kuru;;;;   310;50;18.2;61;710;7.3;;;;;
2012;35;ÝZMÝR;26;TÝRE;Buðday (Durum) Sulu;;;;   450;50;18.2;61;710;7.3;;;;;
2012;35;ÝZMÝR;26;TÝRE;Buðday (Diðer) Kuru;  7 360;  7 360;  2 282;   310;50;18.2;61;710;7.3;;;;;
2012;35;ÝZMÝR;26;TÝRE;Buðday (Diðer) Sulu;  14 720;  14 720;  6 624;   450;50;18.2;61;710;7.3;;;;;
2012;35;ÝZMÝR;27;TORBALI;Buðday (Durum) Kuru;;;;   310;20;18.4;62;680;7.5;;;;;
2012;35;ÝZMÝR;27;TORBALI;Buðday (Durum) Sulu;;;;   450;20;18.4;62;680;7.5;;;;;
2012;35;ÝZMÝR;27;TORBALI;Buðday (Diðer) Kuru;  9 813;  9 813;  3 042;   310;20;18.4;62;680;7.5;;;;;
2012;35;ÝZMÝR;27;TORBALI;Buðday (Diðer) Sulu;  4 995;  4 995;  2 248;   450;20;18.4;62;680;7.5;;;;;
2012;35;ÝZMÝR;28;URLA;Buðday (Durum) Kuru;;;;   300;15;18.6;63;670;7.6;;;;;
2012;35;ÝZMÝR;28;URLA;Buðday (Durum) Sulu;;;;   400;15;18.6;63;670;7.6;;;;;
2012;35;ÝZMÝR;28;URLA;Buðday (Diðer) Kuru;  2 453;  2 453;   736;   300;15;18.6;63;670;7.6;;;;;
2012;35;ÝZMÝR;28;URLA;Buðday (Diðer) Sulu;  1 963;  1 963;   785;   400;15;18.6;63;670;7.6;;;;;
2012;36;KARS;0;MERKEZ;Buðday (Durum) Kuru;;;;   160;1768;4.5;69;500;5.2;;;;;
2012;36;KARS;0;MERKEZ;Buðday (Durum) Sulu;;;;   220;1768;4.5;69;500;5.2;;;;;
2012;36;KARS;0;MERKEZ;Buðday (Diðer) Kuru;  50 047;  50 047;  8 008;   160;1768;4.5;69;500;5.2;;;;;
2012;36;KARS;0;MERKEZ;Buðday (Diðer) Sulu;   ;   ;   ;   220;1768;4.5;69;500;5.2;;;;;
2012;36;KARS;1;AKYAKA;Buðday (Durum) Kuru;;;;   150;1755;4.3;70;510;5.1;;;;;
2012;36;KARS;1;AKYAKA;Buðday (Durum) Sulu;;;;   220;1755;4.3;70;510;5.1;;;;;
2012;36;KARS;1;AKYAKA;Buðday (Diðer) Kuru;  8 832;  8 832;  1 325;   150;1755;4.3;70;510;5.1;;;;;
2012;36;KARS;1;AKYAKA;Buðday (Diðer) Sulu;  2 944;  2 944;   648;   220;1755;4.3;70;510;5.1;;;;;
2012;36;KARS;2;ARPAÇAY;Buðday (Durum) Kuru;;;;   150;1820;4.0;68;490;5.0;;;;;
2012;36;KARS;2;ARPAÇAY;Buðday (Durum) Sulu;;;;   220;1820;4.0;68;490;5.0;;;;;
2012;36;KARS;2;ARPAÇAY;Buðday (Diðer) Kuru;  93 225;  93 225;  13 984;   150;1820;4.0;68;490;5.0;;;;;
2012;36;KARS;2;ARPAÇAY;Buðday (Diðer) Sulu;   ;   ;   ;   220;1820;4.0;68;490;5.0;;;;;
2012;36;KARS;3;DÝGOR;Buðday (Durum) Kuru;;;;   150;1900;3.8;67;480;4.9;;;;;
2012;36;KARS;3;DÝGOR;Buðday (Durum) Sulu;;;;   220;1900;3.8;67;480;4.9;;;;;
2012;36;KARS;3;DÝGOR;Buðday (Diðer) Kuru;  161 508;  161 508;  24 226;   150;1900;3.8;67;480;4.9;;;;;
2012;36;KARS;3;DÝGOR;Buðday (Diðer) Sulu;   ;   ;   ;   220;1900;3.8;67;480;4.9;;;;;
2012;36;KARS;4;KAÐIZMAN;Buðday (Durum) Kuru;;;;   160;1496;5.6;65;460;5.4;;;;;
2012;36;KARS;4;KAÐIZMAN;Buðday (Durum) Sulu;;;;   220;1496;5.6;65;460;5.4;;;;;
2012;36;KARS;4;KAÐIZMAN;Buðday (Diðer) Kuru;  81 449;  81 449;  13 032;   160;1496;5.6;65;460;5.4;;;;;
2012;36;KARS;4;KAÐIZMAN;Buðday (Diðer) Sulu;   613;   613;   135;   220;1496;5.6;65;460;5.4;;;;;
2012;36;KARS;5;SARIKAMIÞ;Buðday (Durum) Kuru;;;;   110;2100;3.0;72;520;4.7;;;;;
2012;36;KARS;5;SARIKAMIÞ;Buðday (Durum) Sulu;;;;   200;2100;3.0;72;520;4.7;;;;;
2012;36;KARS;5;SARIKAMIÞ;Buðday (Diðer) Kuru;  71 006;  71 006;  7 811;   110;2100;3.0;72;520;4.7;;;;;
2012;36;KARS;5;SARIKAMIÞ;Buðday (Diðer) Sulu;   ;   ;   ;   200;2100;3.0;72;520;4.7;;;;;
2012;36;KARS;6;SELÝM;Buðday (Durum) Kuru;;;;   150;1845;4.1;69;495;5.0;;;;;
2012;36;KARS;6;SELÝM;Buðday (Durum) Sulu;;;;   220;1845;4.1;69;495;5.0;;;;;
2012;36;KARS;6;SELÝM;Buðday (Diðer) Kuru;  36 316;  36 316;  5 447;   150;1845;4.1;69;495;5.0;;;;;
2012;36;KARS;6;SELÝM;Buðday (Diðer) Sulu;   ;   ;   ;   220;1845;4.1;69;495;5.0;;;;;
2012;36;KARS;7;SUSUZ;Buðday (Durum) Kuru;;;;   150;1790;4.2;70;505;5.1;;;;;
2012;36;KARS;7;SUSUZ;Buðday (Durum) Sulu;;;;   220;1790;4.2;70;505;5.1;;;;;
2012;36;KARS;7;SUSUZ;Buðday (Diðer) Kuru;  13 738;  13 738;  2 061;   150;1790;4.2;70;505;5.1;;;;;
2012;36;KARS;7;SUSUZ;Buðday (Diðer) Sulu;   ;   ;   ;   220;1790;4.2;70;505;5.1;;;;;
2012;37;KASTAMONU;0;MERKEZ;Buðday (Durum) Kuru;;;;   160;780;11.3;65;520;6.7;;;;;
2012;37;KASTAMONU;0;MERKEZ;Buðday (Durum) Sulu;;;;   250;780;11.3;65;520;6.7;;;;;
2012;37;KASTAMONU;0;MERKEZ;Buðday (Diðer) Kuru;  190 316;  190 316;  30 451;   160;780;11.3;65;520;6.7;;;;;
2012;37;KASTAMONU;0;MERKEZ;Buðday (Diðer) Sulu;  7 909;  7 909;  1 977;   250;780;11.3;65;520;6.7;;;;;
2012;37;KASTAMONU;1;ABANA;Buðday (Durum) Kuru;;;;   125;10;14.7;70;600;6.5;;;;;
2012;37;KASTAMONU;1;ABANA;Buðday (Durum) Sulu;;;;   200;10;14.7;70;600;6.5;;;;;
2012;37;KASTAMONU;1;ABANA;Buðday (Diðer) Kuru;   ;   ;   ;   125;10;14.7;70;600;6.5;;;;;
2012;37;KASTAMONU;1;ABANA;Buðday (Diðer) Sulu;   ;   ;   ;   200;10;14.7;70;600;6.5;;;;;
2012;37;KASTAMONU;2;AÐLI;Buðday (Durum) Kuru;;;;   125;1120;10.2;68;510;6.6;;;;;
2012;37;KASTAMONU;2;AÐLI;Buðday (Durum) Sulu;;;;   200;1120;10.2;68;510;6.6;;;;;
2012;37;KASTAMONU;2;AÐLI;Buðday (Diðer) Kuru;  12 757;  12 757;  1 595;   125;1120;10.2;68;510;6.6;;;;;
2012;37;KASTAMONU;2;AÐLI;Buðday (Diðer) Sulu;   ;   ;   ;   200;1120;10.2;68;510;6.6;;;;;
2012;37;KASTAMONU;3;ARAÇ;Buðday (Durum) Kuru;;;;   200;740;11.0;67;530;6.7;;;;;
2012;37;KASTAMONU;3;ARAÇ;Buðday (Durum) Sulu;;;;   250;740;11.0;67;530;6.7;;;;;
2012;37;KASTAMONU;3;ARAÇ;Buðday (Diðer) Kuru;  31 942;  31 942;  6 388;   200;740;11.0;67;530;6.7;;;;;
2012;37;KASTAMONU;3;ARAÇ;Buðday (Diðer) Sulu;   ;   ;   ;   250;740;11.0;67;530;6.7;;;;;
2012;37;KASTAMONU;4;AZDAVAY;Buðday (Durum) Kuru;;;;   110;830;10.5;69;520;6.6;;;;;
2012;37;KASTAMONU;4;AZDAVAY;Buðday (Durum) Sulu;;;;   180;830;10.5;69;520;6.6;;;;;
2012;37;KASTAMONU;4;AZDAVAY;Buðday (Diðer) Kuru;  8 057;  8 057;   886;   110;830;10.5;69;520;6.6;;;;;
2012;37;KASTAMONU;4;AZDAVAY;Buðday (Diðer) Sulu;   ;   ;   ;   180;830;10.5;69;520;6.6;;;;;
2012;37;KASTAMONU;5;BOZKURT;Buðday (Durum) Kuru;;;;   125;200;13.8;71;550;6.5;;;;;
2012;37;KASTAMONU;5;BOZKURT;Buðday (Durum) Sulu;;;;   200;200;13.8;71;550;6.5;;;;;
2012;37;KASTAMONU;5;BOZKURT;Buðday (Diðer) Kuru;   ;   ;   ;   125;200;13.8;71;550;6.5;;;;;
2012;37;KASTAMONU;5;BOZKURT;Buðday (Diðer) Sulu;  2 453;  2 453;   491;   200;200;13.8;71;550;6.5;;;;;
2012;37;KASTAMONU;6;CÝDE;Buðday (Durum) Kuru;;;;   200;50;14.2;72;570;6.6;;;;;
2012;37;KASTAMONU;6;CÝDE;Buðday (Durum) Sulu;;;;   250;50;14.2;72;570;6.6;;;;;
2012;37;KASTAMONU;6;CÝDE;Buðday (Diðer) Kuru;  4 122;  4 122;   824;   200;50;14.2;72;570;6.6;;;;;
2012;37;KASTAMONU;6;CÝDE;Buðday (Diðer) Sulu;   ;   ;   ;   250;50;14.2;72;570;6.6;;;;;
2012;37;KASTAMONU;7;ÇATALZEYTÝN;Buðday (Durum) Kuru;;;;   180;15;14.0;70;560;6.5;;;;;
2012;37;KASTAMONU;7;ÇATALZEYTÝN;Buðday (Durum) Sulu;;;;   230;15;14.0;70;560;6.5;;;;;
2012;37;KASTAMONU;7;ÇATALZEYTÝN;Buðday (Diðer) Kuru;   14;   14;   3;   180;15;14.0;70;560;6.5;;;;;
2012;37;KASTAMONU;7;ÇATALZEYTÝN;Buðday (Diðer) Sulu;   ;   ;   ;   230;15;14.0;70;560;6.5;;;;;
2012;37;KASTAMONU;8;DADAY;Buðday (Durum) Kuru;;;;   150;940;10.8;66;530;6.6;;;;;
2012;37;KASTAMONU;8;DADAY;Buðday (Durum) Sulu;;;;   230;940;10.8;66;530;6.6;;;;;
2012;37;KASTAMONU;8;DADAY;Buðday (Diðer) Kuru;  33 850;  33 850;  5 078;   150;940;10.8;66;530;6.6;;;;;
2012;37;KASTAMONU;8;DADAY;Buðday (Diðer) Sulu;  2 355;  2 355;   542;   230;940;10.8;66;530;6.6;;;;;
2012;37;KASTAMONU;9;DEVREKANÝ;Buðday (Durum) Kuru;;;;   160;700;11.5;65;540;6.7;;;;;
2012;37;KASTAMONU;9;DEVREKANÝ;Buðday (Durum) Sulu;;;;   230;700;11.5;65;540;6.7;;;;;
2012;37;KASTAMONU;9;DEVREKANÝ;Buðday (Diðer) Kuru;  63 786;  63 786;  10 206;   160;700;11.5;65;540;6.7;;;;;
2012;37;KASTAMONU;9;DEVREKANÝ;Buðday (Diðer) Sulu;   ;   ;   ;   230;700;11.5;65;540;6.7;;;;;
2012;37;KASTAMONU;10;DOÐANYURT;Buðday (Durum) Kuru;;;;   120;20;14.5;70;580;6.6;;;;;
2012;37;KASTAMONU;10;DOÐANYURT;Buðday (Durum) Sulu;;;;   230;20;14.5;70;580;6.6;;;;;
2012;37;KASTAMONU;10;DOÐANYURT;Buðday (Diðer) Kuru;  1 864;  1 864;   224;   120;20;14.5;70;580;6.6;;;;;
2012;37;KASTAMONU;10;DOÐANYURT;Buðday (Diðer) Sulu;   ;   ;   ;   230;20;14.5;70;580;6.6;;;;;
2012;37;KASTAMONU;11;HANÖNÜ;Buðday (Durum) Kuru;;;;   140;430;13.2;68;550;6.5;;;;;
2012;37;KASTAMONU;11;HANÖNÜ;Buðday (Durum) Sulu;;;;   200;430;13.2;68;550;6.5;;;;;
2012;37;KASTAMONU;11;HANÖNÜ;Buðday (Diðer) Kuru;  10 000;  10 000;  1 400;   140;430;13.2;68;550;6.5;;;;;
2012;37;KASTAMONU;11;HANÖNÜ;Buðday (Diðer) Sulu;  2 453;  2 453;   491;   200;430;13.2;68;550;6.5;;;;;
2012;37;KASTAMONU;12;ÝHSANGAZÝ;Buðday (Durum) Kuru;;;;   160;860;10.5;67;520;6.6;;;;;
2012;37;KASTAMONU;12;ÝHSANGAZÝ;Buðday (Durum) Sulu;;;;   230;860;10.5;67;520;6.6;;;;;
2012;37;KASTAMONU;12;ÝHSANGAZÝ;Buðday (Diðer) Kuru;  24 533;  24 533;  3 925;   160;860;10.5;67;520;6.6;;;;;
2012;37;KASTAMONU;12;ÝHSANGAZÝ;Buðday (Diðer) Sulu;   ;   ;   ;   230;860;10.5;67;520;6.6;;;;;
2012;37;KASTAMONU;13;ÝNEBOLU;Buðday (Durum) Kuru;;;;   140;20;14.7;71;590;6.5;;;;;
2012;37;KASTAMONU;13;ÝNEBOLU;Buðday (Durum) Sulu;;;;   220;20;14.7;71;590;6.5;;;;;
2012;37;KASTAMONU;13;ÝNEBOLU;Buðday (Diðer) Kuru;  1 472;  1 472;   206;   140;20;14.7;71;590;6.5;;;;;
2012;37;KASTAMONU;13;ÝNEBOLU;Buðday (Diðer) Sulu;   ;   ;   ;   220;20;14.7;71;590;6.5;;;;;
2012;37;KASTAMONU;14;KÜRE;Buðday (Durum) Kuru;;;;   160;1020;10.0;66;510;6.4;;;;;
2012;37;KASTAMONU;14;KÜRE;Buðday (Durum) Sulu;;;;   230;1020;10.0;66;510;6.4;;;;;
2012;37;KASTAMONU;14;KÜRE;Buðday (Diðer) Kuru;  1 835;  1 835;   294;   160;1020;10.0;66;510;6.4;;;;;
2012;37;KASTAMONU;14;KÜRE;Buðday (Diðer) Sulu;   ;   ;   ;   230;1020;10.0;66;510;6.4;;;;;
2012;37;KASTAMONU;15;PINARBAÞI;Buðday (Durum) Kuru;;;;   120;820;10.8;65;520;6.6;;;;;
2012;37;KASTAMONU;15;PINARBAÞI;Buðday (Durum) Sulu;;;;   230;820;10.8;65;520;6.6;;;;;
2012;37;KASTAMONU;15;PINARBAÞI;Buðday (Diðer) Kuru;  1 178;  1 178;   141;   120;820;10.8;65;520;6.6;;;;;
2012;37;KASTAMONU;15;PINARBAÞI;Buðday (Diðer) Sulu;   ;   ;   ;   230;820;10.8;65;520;6.6;;;;;
2012;37;KASTAMONU;16;SEYDÝLER;Buðday (Durum) Kuru;;;;   160;950;10.4;68;510;6.5;;;;;
2012;37;KASTAMONU;16;SEYDÝLER;Buðday (Durum) Sulu;;;;   250;950;10.4;68;510;6.5;;;;;
2012;37;KASTAMONU;16;SEYDÝLER;Buðday (Diðer) Kuru;  11 285;  11 285;  1 806;   160;950;10.4;68;510;6.5;;;;;
2012;37;KASTAMONU;16;SEYDÝLER;Buðday (Diðer) Sulu;  12 757;  12 757;  3 189;   250;950;10.4;68;510;6.5;;;;;
2012;37;KASTAMONU;17;ÞENPAZAR;Buðday (Durum) Kuru;;;;   150;430;11.8;67;520;6.6;;;;;
2012;37;KASTAMONU;17;ÞENPAZAR;Buðday (Durum) Sulu;;;;   250;430;11.8;67;520;6.6;;;;;
2012;37;KASTAMONU;17;ÞENPAZAR;Buðday (Diðer) Kuru;   20;   20;   3;   150;430;11.8;67;520;6.6;;;;;
2012;37;KASTAMONU;17;ÞENPAZAR;Buðday (Diðer) Sulu;   ;   ;   ;   250;430;11.8;67;520;6.6;;;;;
2012;37;KASTAMONU;18;TAÞKÖPRÜ;Buðday (Durum) Kuru;;;;   150;570;11.3;65;530;6.7;;;;;
2012;37;KASTAMONU;18;TAÞKÖPRÜ;Buðday (Durum) Sulu;;;;   250;570;11.3;65;530;6.7;;;;;
2012;37;KASTAMONU;18;TAÞKÖPRÜ;Buðday (Diðer) Kuru;  98 132;  98 132;  14 720;   150;570;11.3;65;530;6.7;;;;;
2012;37;KASTAMONU;18;TAÞKÖPRÜ;Buðday (Diðer) Sulu;  39 253;  39 253;  9 813;   250;570;11.3;65;530;6.7;;;;;
2012;37;KASTAMONU;19;TOSYA;Buðday (Durum) Kuru;;;;   120;590;11.0;66;540;6.8;;;;;
2012;37;KASTAMONU;19;TOSYA;Buðday (Durum) Sulu;;;;   140;590;11.0;66;540;6.8;;;;;
2012;37;KASTAMONU;19;TOSYA;Buðday (Diðer) Kuru;  50 950;  50 950;  6 114;   120;590;11.0;66;540;6.8;;;;;
2012;37;KASTAMONU;19;TOSYA;Buðday (Diðer) Sulu;  22 570;  22 570;  3 160;   140;590;11.0;66;540;6.8;;;;;
2012;38;KAYSERÝ;1;KOCASÝNAN;Buðday (Durum) Kuru;  3 042;  3 042;   456;   150;1050;11.6;60;550;6.8;;;;;
2012;38;KAYSERÝ;1;KOCASÝNAN;Buðday (Durum) Sulu;   785;   785;   275;   350;1050;11.6;60;550;6.8;;;;;
2012;38;KAYSERÝ;1;KOCASÝNAN;Buðday (Diðer) Kuru;  113 842;  113 842;  17 076;   150;1050;11.6;60;550;6.8;;;;;
2012;38;KAYSERÝ;1;KOCASÝNAN;Buðday (Diðer) Sulu;  39 037;  39 037;  13 663;   350;1050;11.6;60;550;6.8;;;;;
2012;38;KAYSERÝ;2;MELÝKGAZÝ;Buðday (Durum) Kuru;   ;   ;   ;   185;1100;11.4;62;540;6.7;;;;;
2012;38;KAYSERÝ;2;MELÝKGAZÝ;Buðday (Durum) Sulu;  1 325;  1 325;   451;   340;1100;11.4;62;540;6.7;;;;;
2012;38;KAYSERÝ;2;MELÝKGAZÝ;Buðday (Diðer) Kuru;  4 548;  4 548;   841;   185;1100;11.4;62;540;6.7;;;;;
2012;38;KAYSERÝ;2;MELÝKGAZÝ;Buðday (Diðer) Sulu;  3 036;  3 036;  1 032;   340;1100;11.4;62;540;6.7;;;;;
2012;38;KAYSERÝ;3;AKKIÞLA;Buðday (Durum) Kuru;;;;   230;1600;9.5;64;570;6.5;;;;;
2012;38;KAYSERÝ;3;AKKIÞLA;Buðday (Durum) Sulu;;;;   300;1600;9.5;64;570;6.5;;;;;
2012;38;KAYSERÝ;3;AKKIÞLA;Buðday (Diðer) Kuru;  16 192;  16 192;  3 724;   230;1600;9.5;64;570;6.5;;;;;
2012;38;KAYSERÝ;3;AKKIÞLA;Buðday (Diðer) Sulu;  9 813;  9 813;  2 944;   300;1600;9.5;64;570;6.5;;;;;
2012;38;KAYSERÝ;4;BÜNYAN;Buðday (Durum) Kuru;  7 851;  7 851;  1 570;   200;1350;10.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;4;BÜNYAN;Buðday (Durum) Sulu;  1 864;  1 864;   662;   355;1350;10.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;4;BÜNYAN;Buðday (Diðer) Kuru;  78 505;  78 505;  15 701;   200;1350;10.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;4;BÜNYAN;Buðday (Diðer) Sulu;  8 832;  8 832;  3 091;   350;1350;10.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;5;DEVELÝ;Buðday (Durum) Kuru;;;;   200;1220;11.2;61;580;6.7;;;;;
2012;38;KAYSERÝ;5;DEVELÝ;Buðday (Durum) Sulu;;;;   330;1220;11.2;61;580;6.7;;;;;
2012;38;KAYSERÝ;5;DEVELÝ;Buðday (Diðer) Kuru;  171 730;  171 730;  34 346;   200;1220;11.2;61;580;6.7;;;;;
2012;38;KAYSERÝ;5;DEVELÝ;Buðday (Diðer) Sulu;  44 159;  44 159;  14 572;   330;1220;11.2;61;580;6.7;;;;;
2012;38;KAYSERÝ;6;FELAHÝYE;Buðday (Durum) Kuru;  35 327;  35 327;  6 535;   185;1550;9.8;65;570;6.5;;;;;
2012;38;KAYSERÝ;6;FELAHÝYE;Buðday (Durum) Sulu;;;;   235;1550;9.8;65;570;6.5;;;;;
2012;38;KAYSERÝ;6;FELAHÝYE;Buðday (Diðer) Kuru;  8 832;  8 832;  1 634;   185;1550;9.8;65;570;6.5;;;;;
2012;38;KAYSERÝ;6;FELAHÝYE;Buðday (Diðer) Sulu;;;;   235;1550;9.8;65;570;6.5;;;;;
2012;38;KAYSERÝ;7;HACILAR;Buðday (Durum) Kuru;;;;   130;1300;10.9;62;550;6.7;;;;;
2012;38;KAYSERÝ;7;HACILAR;Buðday (Durum) Sulu;;;;   350;1300;10.9;62;550;6.7;;;;;
2012;38;KAYSERÝ;7;HACILAR;Buðday (Diðer) Kuru;  6 771;  6 771;   880;   130;1300;10.9;62;550;6.7;;;;;
2012;38;KAYSERÝ;7;HACILAR;Buðday (Diðer) Sulu;   98;   98;   34;   350;1300;10.9;62;550;6.7;;;;;
2012;38;KAYSERÝ;8;ÝNCESU;Buðday (Durum) Kuru;;;;   150;1120;11.3;61;560;6.7;;;;;
2012;38;KAYSERÝ;8;ÝNCESU;Buðday (Durum) Sulu;;;;   350;1120;11.3;61;560;6.7;;;;;
2012;38;KAYSERÝ;8;ÝNCESU;Buðday (Diðer) Kuru;  66 435;  66 435;  9 965;   150;1120;11.3;61;560;6.7;;;;;
2012;38;KAYSERÝ;8;ÝNCESU;Buðday (Diðer) Sulu;  18 351;  18 351;  6 423;   350;1120;11.3;61;560;6.7;;;;;
2012;38;KAYSERÝ;9;ÖZVATAN;Buðday (Durum) Kuru;  1 963;  1 963;   344;   175;1400;10.2;64;570;6.5;;;;;
2012;38;KAYSERÝ;9;ÖZVATAN;Buðday (Durum) Sulu;   981;   981;   196;   200;1400;10.2;64;570;6.5;;;;;
2012;38;KAYSERÝ;9;ÖZVATAN;Buðday (Diðer) Kuru;  37 290;  37 290;  6 526;   175;1400;10.2;64;570;6.5;;;;;
2012;38;KAYSERÝ;9;ÖZVATAN;Buðday (Diðer) Sulu;  2 944;  2 944;   589;   200;1400;10.2;64;570;6.5;;;;;
2012;38;KAYSERÝ;10;PINARBAÞI;Buðday (Durum) Kuru;   981;   981;   147;   150;1580;9.7;65;570;6.6;;;;;
2012;38;KAYSERÝ;10;PINARBAÞI;Buðday (Durum) Sulu;   ;   ;   ;   300;1580;9.7;65;570;6.6;;;;;
2012;38;KAYSERÝ;10;PINARBAÞI;Buðday (Diðer) Kuru;  245 265;  245 265;  36 790;   150;1580;9.7;65;570;6.6;;;;;
2012;38;KAYSERÝ;10;PINARBAÞI;Buðday (Diðer) Sulu;  9 813;  9 813;  2 944;   300;1580;9.7;65;570;6.6;;;;;
2012;38;KAYSERÝ;11;SARIOÐLAN;Buðday (Durum) Kuru;;;;   180;1460;10.1;64;570;6.5;;;;;
2012;38;KAYSERÝ;11;SARIOÐLAN;Buðday (Durum) Sulu;;;;   340;1460;10.1;64;570;6.5;;;;;
2012;38;KAYSERÝ;11;SARIOÐLAN;Buðday (Diðer) Kuru;  34 346;  34 346;  6 182;   180;1460;10.1;64;570;6.5;;;;;
2012;38;KAYSERÝ;11;SARIOÐLAN;Buðday (Diðer) Sulu;  9 813;  9 813;  3 336;   340;1460;10.1;64;570;6.5;;;;;
2012;38;KAYSERÝ;12;SARIZ;Buðday (Durum) Kuru;;;;   202;1520;9.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;12;SARIZ;Buðday (Durum) Sulu;;;;   282;1520;9.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;12;SARIZ;Buðday (Diðer) Kuru;  89 496;  89 496;  18 078;   202;1520;9.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;12;SARIZ;Buðday (Diðer) Sulu;;;;   282;1520;9.8;63;560;6.6;;;;;
2012;38;KAYSERÝ;13;TALAS;Buðday (Durum) Kuru;;;;   130;1160;11.4;61;550;6.7;;;;;
2012;38;KAYSERÝ;13;TALAS;Buðday (Durum) Sulu;;;;   200;1160;11.4;61;550;6.7;;;;;
2012;38;KAYSERÝ;13;TALAS;Buðday (Diðer) Kuru;  39 253;  39 253;  5 103;   130;1160;11.4;61;550;6.7;;;;;
2012;38;KAYSERÝ;13;TALAS;Buðday (Diðer) Sulu;;;;   200;1160;11.4;61;550;6.7;;;;;
2012;38;KAYSERÝ;14;TOMARZA;Buðday (Durum) Kuru;;;;   200;1440;10.3;63;560;6.6;;;;;
2012;38;KAYSERÝ;14;TOMARZA;Buðday (Durum) Sulu;;;;   300;1440;10.3;63;560;6.6;;;;;
2012;38;KAYSERÝ;14;TOMARZA;Buðday (Diðer) Kuru;  181 936;  181 936;  36 387;   200;1440;10.3;63;560;6.6;;;;;
2012;38;KAYSERÝ;14;TOMARZA;Buðday (Diðer) Sulu;   ;   ;   ;   300;1440;10.3;63;560;6.6;;;;;
2012;38;KAYSERÝ;15;YAHYALI;Buðday (Durum) Kuru;;;;   220;1230;11.2;62;570;6.7;;;;;
2012;38;KAYSERÝ;15;YAHYALI;Buðday (Durum) Sulu;;;;   380;1230;11.2;62;570;6.7;;;;;
2012;38;KAYSERÝ;15;YAHYALI;Buðday (Diðer) Kuru;  78 015;  78 015;  17 163;   220;1230;11.2;62;570;6.7;;;;;
